Location,Shot,Offside,AirDuelWon,GroundDuelWon,Corner,CrossAcc,Foul,Tackle,SprintD,Cross,OppRank,LSRD,TackleWon,HSRE,MSRD,FwdPass
1,22,2,41.18,60.53,8,25.81,15,15,1226.5,31,0,78218.8,86.67,365.2,12753.4,346
0,10,3,58.82,40,2,14.29,18,22,902,7,0,80565.1,59.09,343.2,12801.8,304
1,12,3,50.79,51.72,2,27.78,16,21,1364,18,0,91269.2,66.67,418,15438.5,288
0,13,0,49.21,48.28,7,26.32,21,27,1584,38,0,86799.9,74.07,374,14081.1,335
1,9,3,44.12,51.72,3,27.78,18,28,856.9,18,1,82613.3,57.14,286,10798.7,358
0,11,0,55.88,48.28,3,40,33,28,1140.7,10,0,84991.5,64.29,301.4,11161.7,223
1,9,4,31.03,38.1,4,40,29,32,1471.8,10,0,85064.1,56.25,374,13476.1,242
0,16,3,68.97,61.9,6,17.14,18,21,1921.7,35,0,82370.2,90.48,353.1,12150.6,348
1,17,2,65.12,56.52,8,29.17,24,37,1399.2,24,1,86825.2,67.57,409.2,14545.3,312
0,10,6,34.88,43.48,2,15.38,19,30,2033.9,13,0,86515,76.67,424.6,15198.7,248
1,13,1,52.17,50,4,25,25,20,1360.7,12,1,85883.6,75,298.1,12928.3,327
0,11,2,47.83,50,2,18.75,16,22,1403.6,16,0,88433.4,63.64,309.1,13038.3,331
1,17,3,56.76,59.38,4,13.64,18,29,1292.5,22,1,83274.4,55.17,346.5,13382.6,323
0,7,3,43.24,40.63,2,16.67,17,17,1035.1,18,0,84613.1,58.82,339.9,13945.8,270
1,18,3,57.69,64,3,22.22,21,23,818.4,9,1,81497.9,82.61,232.1,9427,281
0,11,1,42.31,36,3,26.67,18,17,817.3,15,0,83718.8,47.06,236.5,9717.4,267
1,19,0,50,59.26,7,23.81,20,10,847,21,1,82930.1,50,321.2,12535.6,350
0,10,2,50,40.74,3,14.29,18,21,821.7,7,0,82623.2,47.62,267.3,10467.6,276
1,12,4,30.3,57.69,3,19.05,14,12,1150.6,21,1,90263.8,75,314.6,14488.1,401
0,9,1,69.7,42.31,3,41.67,17,16,1086.8,12,0,91261.5,56.25,280.5,12350.8,260
1,14,0,71.88,53.85,7,20,17,30,1557.6,15,0,84401.9,50,349.8,14781.8,289
0,11,1,28.13,46.15,5,31.58,15,23,1850.2,19,0,87708.5,43.48,372.9,13726.9,276
1,24,3,64.29,45.45,9,25,14,20,711.7,36,0,83134.7,80,269.5,10890,343
0,5,3,35.71,54.55,2,33.33,15,16,584.1,6,0,85178.5,62.5,278.3,11949.3,264
1,17,0,51.16,60,2,57.14,14,26,1295.8,7,0,84824.3,69.23,311.3,11930.6,256
0,7,1,48.84,40,7,15,30,20,1416.8,20,0,84078.5,40,325.6,12609.3,274
1,14,2,62.86,57.58,8,25.93,19,21,1469.6,27,0,85421.6,85.71,298.1,11988.9,332
0,5,1,37.14,41.94,2,35.71,7,22,1116.5,14,0,83704.5,72.73,363,14477.1,336
1,10,3,60.53,47.83,8,36.36,18,28,1729.2,22,0,83230.4,71.43,330,10699.7,309
0,7,6,39.47,52.17,8,23.81,17,19,1543.3,21,0,83098.4,73.68,337.7,11551.1,243
1,19,3,66.67,60.71,8,23.81,16,8,1533.4,21,1,85532.7,62.5,321.2,11927.3,381
0,9,6,33.33,39.29,4,42.86,16,9,1161.6,7,0,83580.2,66.67,302.5,11607.2,232
1,14,2,53.49,61.9,3,24,20,20,1601.6,25,0,82143.6,80,262.9,10315.8,309
0,15,1,46.51,36.84,7,31.25,13,15,1146.2,16,0,81445.1,86.67,288.2,10286.1,228
1,16,2,62.5,59.38,9,23.53,15,22,1703.9,17,1,84114.8,59.09,420.2,15419.8,270
0,8,1,37.5,40.63,7,22.73,11,15,1977.8,22,0,85242.3,60,469.7,16346,332
1,15,4,70.59,50,8,20,18,26,1571.9,20,1,83505.4,76.92,359.7,13488.2,328
0,6,4,29.41,50,4,15.38,20,34,1135.2,13,0,87476.4,67.65,343.2,14737.8,315
1,28,2,51.85,48.15,12,20,15,14,1547.7,35,1,85742.8,78.57,392.7,14097.6,367
0,8,0,48.15,52,1,22.22,18,13,969.1,9,0,87769,61.54,319,13894.1,255
1,10,2,77.78,47.73,6,35.48,7,17,1379.4,31,1,86340.1,64.71,331.1,12278.2,445
0,8,4,22.22,52.27,2,18.18,15,22,1579.6,11,0,88893.2,77.27,333.3,12908.5,255
1,10,2,52.38,48.48,4,24.14,16,26,1412.4,29,1,89031.8,61.54,409.2,15733.3,480
0,10,5,47.62,51.52,2,27.78,12,32,1245.2,18,0,91280.2,62.5,337.7,14320.9,257
1,15,4,80,44.83,4,38.89,15,10,1281.5,18,1,86033.2,60,299.2,11761.2,399
0,3,4,20,55.17,1,25,18,15,938.3,8,0,86670.1,80,256.3,10552.3,294
1,18,4,37.14,33.33,9,10.71,8,21,1537.8,28,0,91406.7,71.43,324.5,12834.8,471
0,9,4,62.86,66.67,1,45.45,11,21,1145.1,11,0,91361.6,33.33,369.6,15429.7,266
1,17,2,50,52.63,1,10,17,21,1690.7,10,0,90285.8,71.43,383.9,13319.9,378
0,8,6,50,47.37,6,22.22,12,20,1189.1,18,0,92038.1,60,410.3,16693.6,326
1,16,1,58.06,38.89,5,28,9,25,1430,25,0,87366.4,52,341,13933.7,322
0,12,0,41.94,61.11,2,20,21,17,1003.2,10,1,88211.2,64.71,313.5,14005.2,378
1,11,0,42.22,42.31,4,42.86,16,23,2180.2,14,0,96127.9,52.17,506,17660.5,297
0,25,2,57.78,57.69,6,27.27,12,33,1609.3,44,1,94876.1,42.42,470.8,17656.1,418
1,9,4,58.62,51.85,3,35.29,18,21,1200.1,17,0,85951.8,52.38,289.3,11755.7,292
0,12,4,41.38,48.15,4,31.58,14,22,1071.4,19,1,85330.3,77.27,273.9,10477.5,391
1,13,5,38.71,50,5,26.09,14,24,1793,23,1,90148.3,75,470.8,17644,262
0,5,1,61.29,50,0,20,21,24,1247.4,10,1,91744.4,75,379.5,15412.1,350
1,11,4,45.1,48,4,23.08,17,24,2020.7,13,1,89622.5,70.83,409.2,15653,248
0,13,2,54.9,52,3,33.33,17,14,1431.1,27,1,92140.4,57.14,382.8,15607.9,405
1,19,1,51.85,52.38,5,15,19,14,1255.1,20,0,86917.6,57.14,289.3,11931.7,355
0,5,3,48.15,47.62,5,18.75,22,29,729.3,16,1,88865.7,48.28,283.8,12269.4,214
1,10,0,41.18,56.25,1,12,13,14,1599.4,25,0,95153.3,57.14,426.8,14320.9,377
0,6,2,58.82,44.44,2,28.57,23,15,1267.2,7,1,96349,66.67,342.1,13950.2,307
1,11,1,62.86,53.85,6,27.27,20,21,1496,22,0,91357.2,80.95,460.9,15464.9,273
0,13,3,37.14,46.15,3,17.65,10,19,1214.4,17,1,91851.1,78.95,408.1,14577.2,323
1,13,1,34.21,35.71,10,18.75,16,20,751.3,32,0,94134.7,60,279.4,13597.1,341
0,9,3,65.79,64.29,2,14.29,11,17,937.2,7,1,93299.8,88.24,290.4,11803,363
1,11,3,60.71,55.17,5,27.27,25,14,1713.8,22,1,94457,92.86,422.4,16173.3,448
